Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1414 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southwest bound ,Vehicle count  - Motorcycles northeast bound ,Vehicle count  - Cars and Light Vans southwest bound ,Vehicle count  - Cars and Light Vans northeast bound ,Vehicle count  - Cars with Trailer southwest bound ,Vehicle count  - Cars with Trailer northeast bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southwest bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northeast bound ,Vehicle count  - Articulated HGVs southwest bound ,Vehicle count  - Articulated HGVs northeast bound ,Vehicle count  - Buses and Coaches southwest bound ,Vehicle count  - Buses and Coaches northeast bound ,Vehicle speed  - Vehicles Speed southwest bound (km/h),Vehicle speed  - Vehicles Speed northeast bound (km/h)
04/05/2022 16:00,12,23,1058,943,5,0,32,24,13,16,5,0,35.4,33.98,,
04/05/2022 17:00,16,31,1116,965,2,2,27,21,21,13,5,0,35.21,33.54,,
04/05/2022 18:00,15,16,1148,900,1,1,29,11,8,7,8,0,36.75,38.55,,
04/05/2022 19:00,11,27,994,746,0,0,9,7,1,1,8,0,42.85,45.31,,
04/05/2022 20:00,9,16,718,669,0,2,10,3,4,1,4,0,45.24,46.34,,
04/05/2022 21:00,12,11,515,502,2,1,10,5,2,2,4,0,46.13,45.4,,
04/05/2022 22:00,5,13,595,492,0,0,7,5,0,0,4,0,45.73,45.43,,
04/05/2022 23:00,4,6,437,524,0,0,7,9,1,0,5,0,46.85,45.64,,
05/05/2022 00:00,1,2,313,294,0,0,2,6,0,0,3,0,48.66,47.47,,
05/05/2022 01:00,6,9,128,179,0,0,3,3,0,0,0,0,36.24,40.13,,
05/05/2022 02:00,1,5,44,123,0,0,2,1,1,0,0,0,33.87,44.46,,
05/05/2022 03:00,5,4,101,93,0,0,2,3,0,1,0,0,49.88,49.79,,
05/05/2022 04:00,1,2,78,70,0,0,2,1,0,0,0,0,49.93,50.5,,
05/05/2022 05:00,0,2,124,144,0,0,12,5,0,0,2,0,49.43,49.41,,
05/05/2022 06:00,1,12,394,294,0,0,14,12,0,1,3,0,48.83,50.83,,
05/05/2022 07:00,5,11,842,662,1,0,29,19,3,0,6,0,44.1,48.65,,
05/05/2022 08:00,3,19,851,1089,1,1,51,29,3,3,8,0,42.34,39.71,,
05/05/2022 09:00,5,16,801,887,2,0,37,30,6,1,6,0,40.9,41.9,,
05/05/2022 10:00,7,9,686,663,2,0,37,33,11,2,6,0,42.13,42.94,,
05/05/2022 11:00,3,24,684,673,2,0,45,19,4,1,7,0,42.7,43.67,,
05/05/2022 12:00,11,22,747,715,0,0,47,27,6,1,8,0,42.2,41.66,,
05/05/2022 13:00,4,22,798,776,2,0,46,26,6,2,5,0,41.64,41.39,,
05/05/2022 14:00,7,25,888,762,0,0,31,20,3,0,6,0,41.17,41.45,,
05/05/2022 15:00,10,23,975,865,0,1,35,20,11,5,7,0,38.02,38.43,,
05/05/2022 16:00,16,18,989,991,1,1,27,24,11,6,5,0,38.85,37.42,,
05/05/2022 17:00,19,13,986,971,3,1,32,16,13,5,6,0,35.89,36.94,,
05/05/2022 18:00,16,20,1097,995,0,0,14,10,7,4,6,0,39.18,39.75,,
05/05/2022 19:00,11,34,1041,863,1,0,13,8,2,0,7,0,41.53,43.37,,
05/05/2022 20:00,6,12,906,772,2,0,18,11,1,2,7,0,41.72,43.68,,
05/05/2022 21:00,5,15,604,544,0,0,9,5,1,0,5,0,45.56,45.92,,
05/05/2022 22:00,8,14,686,633,1,0,7,7,1,1,3,0,44.57,43.71,,
05/05/2022 23:00,5,13,504,448,1,0,7,5,0,0,5,0,47.58,46.04,,
06/05/2022 00:00,1,7,343,306,0,0,4,5,0,0,4,0,50.47,47.89,,
06/05/2022 01:00,4,1,260,227,1,0,3,4,0,0,0,0,51.01,48.3,,
06/05/2022 02:00,1,8,209,172,0,0,7,3,0,0,0,0,51.22,48.62,,
06/05/2022 03:00,0,5,153,108,0,0,2,3,0,0,0,0,52.03,51.29,,
06/05/2022 04:00,2,5,116,97,0,1,4,3,1,0,0,0,51.72,51.22,,
06/05/2022 05:00,0,4,115,117,0,0,11,6,0,1,2,0,50.12,50.4,,
06/05/2022 06:00,2,8,333,247,0,0,11,10,3,1,3,0,48.64,50.88,,
06/05/2022 07:00,3,22,836,591,1,0,25,15,3,0,4,0,43.76,48.33,,
06/05/2022 08:00,10,21,826,958,1,1,42,32,3,2,8,0,42.59,41.1,,
06/05/2022 09:00,7,16,736,848,2,0,42,24,4,2,7,0,40.93,41.57,,
06/05/2022 10:00,4,12,680,700,1,0,53,26,2,0,5,0,42.95,43.89,,
06/05/2022 11:00,2,17,676,699,1,0,44,34,2,0,8,0,42.63,42.77,,
06/05/2022 12:00,5,15,753,656,0,0,41,24,2,1,5,0,42.91,43.37,,
06/05/2022 13:00,7,15,763,735,5,0,27,25,7,1,6,0,43.11,43.07,,
06/05/2022 14:00,4,9,879,842,1,1,33,11,3,0,5,0,41.71,41.48,,
06/05/2022 15:00,11,18,977,875,1,0,37,27,12,6,5,0,37.19,40.23,,
06/05/2022 16:00,12,19,956,999,2,0,25,23,13,10,8,0,37.62,34.99,,
06/05/2022 17:00,11,20,969,976,2,0,23,27,9,8,9,0,38.33,35.99,,
06/05/2022 18:00,19,15,1012,898,2,0,21,12,10,4,10,0,39.39,39.83,,
06/05/2022 19:00,5,22,1018,864,1,0,20,12,0,0,8,0,41.98,43.33,,
06/05/2022 20:00,10,22,934,751,0,0,16,13,1,0,7,0,41.3,44.66,,
06/05/2022 21:00,6,12,728,659,0,0,9,8,1,0,5,0,43.59,45.13,,
06/05/2022 22:00,5,21,743,676,0,0,10,10,2,0,4,0,43.92,45.23,,
06/05/2022 23:00,2,10,632,643,0,0,10,8,0,1,6,0,46.45,46.1,,
07/05/2022 00:00,1,14,527,474,0,0,6,5,0,1,3,0,47.55,48.12,,
07/05/2022 01:00,1,7,448,381,0,0,3,5,0,1,0,0,49.11,47.53,,
07/05/2022 02:00,3,5,417,312,0,0,4,5,0,0,0,0,50.95,47.2,,
07/05/2022 03:00,1,6,363,275,0,0,5,0,3,0,0,0,51.22,48.71,,
07/05/2022 04:00,0,0,261,177,0,0,4,3,0,2,0,0,52.79,50.72,,
07/05/2022 05:00,1,3,155,190,0,0,6,6,0,0,0,0,53.79,52.15,,
07/05/2022 06:00,1,4,226,184,0,0,5,5,0,1,0,0,52.25,52.78,,
07/05/2022 07:00,1,9,340,254,1,0,14,10,1,0,2,0,49.97,51.22,,
07/05/2022 08:00,3,3,280,421,0,0,15,9,0,2,3,0,49.05,50.94,,
07/05/2022 09:00,2,5,393,468,0,0,16,9,1,0,5,0,47.71,48.61,,
07/05/2022 10:00,3,14,418,528,0,0,15,12,1,1,5,0,47,47.28,,
07/05/2022 11:00,5,17,573,621,0,0,16,12,1,1,6,0,45.96,46.63,,
07/05/2022 12:00,6,9,642,651,0,0,10,15,4,1,5,0,44.79,46.36,,
07/05/2022 13:00,4,12,692,699,3,1,11,16,4,0,3,0,45.06,46.28,,
07/05/2022 14:00,10,9,716,791,1,0,15,14,1,0,5,0,43.87,45.03,,
07/05/2022 15:00,3,16,735,722,0,0,19,10,2,1,5,0,44.28,45.19,,
07/05/2022 16:00,4,7,792,765,0,0,15,8,0,0,4,0,44.04,46.05,,
07/05/2022 17:00,4,7,745,710,2,1,10,8,3,0,5,0,43.35,46.26,,
07/05/2022 18:00,11,17,825,748,0,1,16,7,2,0,5,0,44.33,44.89,,
07/05/2022 19:00,7,24,1002,751,1,1,9,8,2,0,5,0,42.73,46.24,,
07/05/2022 20:00,8,9,830,727,0,0,11,16,0,0,6,0,45.52,47.07,,
07/05/2022 21:00,8,4,750,643,0,0,10,11,3,1,3,0,44.77,44.88,,
07/05/2022 22:00,3,12,714,712,0,0,4,9,2,1,6,0,45.28,45.06,,
07/05/2022 23:00,3,7,693,583,0,0,4,7,0,0,4,0,47,46.51,,
08/05/2022 00:00,4,8,559,513,0,0,6,6,1,0,3,0,49.13,47.89,,
08/05/2022 01:00,2,5,452,436,0,0,2,9,0,0,0,0,50.63,48.25,,
08/05/2022 02:00,2,6,467,391,0,0,6,11,0,0,0,0,51.23,48.64,,
08/05/2022 03:00,1,7,405,310,0,0,3,8,0,1,0,0,52.64,49.18,,
08/05/2022 04:00,3,2,336,241,0,0,3,1,0,0,0,0,52.4,50.21,,
08/05/2022 05:00,0,6,185,186,0,0,4,6,0,0,0,0,53.04,52.81,,
08/05/2022 06:00,2,4,219,169,0,0,5,2,1,1,0,0,52.03,54.58,,
08/05/2022 07:00,4,3,303,204,0,0,5,6,1,0,1,0,51.62,53.05,,
08/05/2022 08:00,2,5,208,279,0,0,13,5,1,1,2,0,49.78,51.9,,
08/05/2022 09:00,3,5,266,343,0,0,7,9,0,0,3,0,48.82,48.95,,
08/05/2022 10:00,1,8,433,451,1,0,7,11,0,0,3,0,46.72,48.5,,
08/05/2022 11:00,1,11,532,576,0,0,10,9,0,0,4,0,45.34,46.45,,
08/05/2022 12:00,5,9,638,707,0,0,9,7,1,0,3,0,44.87,45.8,,
08/05/2022 13:00,5,13,702,679,2,0,8,8,3,1,4,0,44.33,45.51,,
08/05/2022 14:00,9,21,718,717,3,0,11,9,6,0,3,0,43.87,44.94,,
08/05/2022 15:00,11,8,796,708,0,0,13,6,4,0,3,0,43.07,45.32,,
08/05/2022 16:00,4,10,692,710,0,0,5,7,1,0,3,0,44.64,46.06,,
08/05/2022 17:00,4,15,756,622,0,0,12,8,2,0,5,0,44.76,46.51,,
08/05/2022 18:00,8,12,793,717,1,1,9,9,0,1,3,0,45.33,45.75,,
08/05/2022 19:00,4,22,898,883,1,1,10,9,3,6,3,0,42.23,41.64,,
08/05/2022 20:00,8,20,733,775,1,0,6,8,1,1,4,0,45.3,45.56,,
08/05/2022 21:00,5,5,567,593,1,0,8,4,3,0,2,0,45.49,46.04,,
08/05/2022 22:00,2,16,491,513,0,0,6,6,0,0,3,0,46.62,46.46,,
