Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1017 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southbound ,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans southbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer southbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs southbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches southbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed southbound (km/h),Vehicle speed  - Vehicles Speed northbound (km/h)
19/09/2022 01:00,1,0,105,99,0,0,0,0,0,0,2,0,40.9,40.5,,
19/09/2022 01:30,0,0,95,108,0,0,0,0,0,0,2,0,42.38,41.65,,
19/09/2022 02:00,0,0,102,94,0,0,0,0,0,0,3,0,42.42,40.98,,
19/09/2022 02:30,0,0,84,84,0,1,1,2,0,0,1,0,42.68,39.92,,
19/09/2022 03:00,0,0,108,108,0,0,1,1,0,1,1,0,41.55,41.93,,
19/09/2022 03:30,0,0,66,79,0,0,1,0,0,0,3,0,43.95,40.22,,
19/09/2022 04:00,1,0,59,55,0,0,0,0,0,0,2,0,44.85,41.22,,
19/09/2022 04:30,0,0,44,33,0,0,0,1,0,0,0,0,44.95,42.25,,
19/09/2022 05:00,0,0,28,30,0,1,1,0,0,0,2,0,47.62,41.48,,
19/09/2022 05:30,0,0,20,22,0,0,1,0,0,0,1,0,43.72,42.5,,
19/09/2022 06:00,1,0,20,22,0,0,1,1,0,2,0,0,43.97,42.92,,
19/09/2022 06:30,0,0,30,25,0,0,1,1,0,0,1,0,47.02,41.28,,
19/09/2022 07:00,1,0,32,44,0,0,6,0,0,0,2,0,43.8,43.98,,
19/09/2022 07:30,1,0,45,45,0,0,2,1,1,0,4,0,42.83,42.73,,
19/09/2022 08:00,0,0,34,51,0,0,5,2,1,0,1,0,42.78,42,,
19/09/2022 08:30,0,3,46,66,0,0,0,2,0,0,7,0,41.33,41.65,,
19/09/2022 09:00,1,0,50,58,0,0,3,3,0,0,3,0,41.65,42.95,,
19/09/2022 09:30,1,0,57,68,0,0,6,3,0,0,6,0,40.92,40.72,,
19/09/2022 10:00,0,1,69,72,0,0,4,1,0,0,4,0,40.68,42.25,,
19/09/2022 10:30,2,0,73,82,0,0,3,0,0,1,9,0,44.62,40.95,,
19/09/2022 11:00,1,0,73,89,0,0,6,1,0,0,10,0,41.43,39.65,,
19/09/2022 11:30,1,0,88,116,0,0,3,4,1,0,7,0,41.63,41.63,,
19/09/2022 12:00,0,0,114,104,0,0,1,2,0,1,10,0,41.45,41.7,,
19/09/2022 12:30,2,0,111,130,0,0,4,4,0,0,10,0,40.53,40.52,,
19/09/2022 13:00,3,1,122,160,0,0,3,1,0,0,10,0,42.17,40.37,,
19/09/2022 13:30,1,0,139,145,2,0,2,3,0,0,8,1,41.3,39.58,,
19/09/2022 14:00,2,1,174,154,0,0,3,1,1,0,7,0,41.53,39.5,,
19/09/2022 14:30,2,1,156,163,0,0,1,2,1,0,10,2,40.75,40.08,,
19/09/2022 15:00,0,0,148,186,0,0,4,2,0,0,10,0,40.22,40.12,,
19/09/2022 15:30,3,1,165,206,1,1,1,4,0,0,9,0,41.23,40.48,,
19/09/2022 16:00,11,1,185,165,2,0,9,5,1,2,7,0,39.93,39.53,,
19/09/2022 16:30,4,2,155,156,0,0,6,1,0,1,8,0,39.03,39.6,,
19/09/2022 17:00,4,1,164,187,0,0,2,2,1,0,8,1,38.93,39.08,,
19/09/2022 17:30,5,0,153,192,0,0,0,2,0,0,12,0,39.37,39.68,,
19/09/2022 18:00,3,1,175,167,0,0,2,3,0,1,8,0,40.27,39.58,,
19/09/2022 18:30,1,1,158,177,1,1,4,5,0,0,9,0,39.38,38.88,,
19/09/2022 19:00,4,2,160,194,0,0,2,3,0,1,10,0,38.93,38.3,,
19/09/2022 19:30,5,1,160,185,0,0,2,1,0,0,8,0,39.57,39.28,,
19/09/2022 20:00,2,1,160,162,0,0,1,1,0,0,8,0,40.03,39.25,,
19/09/2022 20:30,1,1,164,154,0,0,2,1,0,0,7,0,37.93,38.73,,
19/09/2022 21:00,2,0,135,138,1,0,1,0,0,0,6,0,38.98,39.18,,
19/09/2022 21:30,2,3,153,126,0,0,2,2,0,0,4,0,40.17,38.53,,
19/09/2022 22:00,1,0,125,130,0,0,5,1,0,0,6,0,40.07,40.32,,
19/09/2022 22:30,6,3,121,118,0,0,2,1,0,0,4,0,40.83,39.77,,
19/09/2022 23:00,4,1,95,110,0,0,4,2,0,0,5,0,40.2,39.77,,
19/09/2022 23:30,1,0,119,95,0,0,2,0,0,0,6,0,41.07,40.7,,
