Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1017 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southbound ,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans southbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer southbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs southbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches southbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed southbound (km/h),Vehicle speed  - Vehicles Speed northbound (km/h)
30/06/2022 04:05,0,0,1,1,0,0,0,0,0,0,0,0,44.3,36.2,,
30/06/2022 04:10,0,0,4,3,0,0,0,0,0,0,1,0,47.5,38.9,,
30/06/2022 04:15,0,0,0,3,1,0,0,0,0,0,0,0,68.4,41.6,,
30/06/2022 04:20,0,0,3,2,0,0,0,0,0,0,2,0,42.6,36.2,,
30/06/2022 04:25,0,0,4,4,0,0,0,0,0,0,0,0,42.2,44.3,,
30/06/2022 04:30,0,0,7,4,0,0,1,0,0,0,0,0,43.3,40.2,,
30/06/2022 04:35,0,0,4,2,0,0,0,0,0,0,0,0,44.3,40.2,,
30/06/2022 04:40,0,0,3,4,0,0,0,0,0,0,0,0,46.9,42.2,,
30/06/2022 04:45,0,0,4,3,0,0,0,0,0,0,2,0,40.2,46.9,,
30/06/2022 04:50,0,0,3,1,0,0,0,0,0,0,0,0,41.6,52.3,,
30/06/2022 04:55,0,0,3,3,0,0,0,0,0,0,0,0,57.7,38.9,,
30/06/2022 05:00,0,0,4,0,0,0,0,1,0,0,0,0,40.2,36.2,,
30/06/2022 05:05,0,0,1,1,0,0,0,0,0,0,1,0,52.3,36.2,,
30/06/2022 05:10,0,0,2,1,0,0,0,0,0,0,0,0,52.3,44.3,,
30/06/2022 05:15,1,0,4,0,0,0,0,0,0,0,0,0,39.4,0,,
30/06/2022 05:20,0,0,3,8,0,0,0,0,0,0,1,0,50.3,42.2,,
30/06/2022 05:25,0,0,2,0,0,0,1,0,0,0,1,0,36.2,0,,
30/06/2022 05:30,0,0,2,3,0,0,0,0,0,0,0,0,44.3,41.6,,
30/06/2022 05:35,0,0,3,3,0,0,0,0,0,0,0,0,46.9,38.9,,
30/06/2022 05:40,0,0,3,4,0,0,1,0,0,0,0,0,42.2,38.2,,
30/06/2022 05:45,0,0,2,3,0,0,0,0,0,0,1,0,38.9,38.9,,
30/06/2022 05:50,0,0,1,6,0,0,0,0,0,0,2,0,33.5,45.6,,
30/06/2022 05:55,0,0,0,5,0,0,1,0,0,0,0,0,36.2,37.8,,
30/06/2022 06:00,0,0,3,4,0,0,0,0,0,0,1,0,34.2,40.2,,
30/06/2022 06:05,0,0,1,4,0,0,1,0,0,0,0,0,44.3,42.2,,
30/06/2022 06:10,0,0,6,5,0,0,1,1,0,0,2,0,47.8,42.9,,
30/06/2022 06:15,0,0,4,5,0,0,0,0,0,0,0,0,38.2,41,,
30/06/2022 06:20,0,0,4,2,0,0,0,0,0,0,0,0,42.2,40.2,,
30/06/2022 06:25,0,0,2,6,0,0,0,0,0,0,2,1,48.3,39.7,,
30/06/2022 06:30,0,0,8,8,0,0,2,0,0,0,1,0,39.1,43.3,,
30/06/2022 06:35,0,0,3,8,0,0,0,0,0,0,2,0,41,40.2,,
30/06/2022 06:40,0,0,8,2,0,0,1,0,0,0,1,0,41,44.3,,
30/06/2022 06:45,0,0,9,11,0,0,1,0,0,0,2,0,39.6,42.8,,
30/06/2022 06:50,0,0,6,9,0,0,1,0,0,0,1,0,51.3,42.5,,
30/06/2022 06:55,0,0,7,11,0,0,0,1,0,0,1,0,38.2,42.9,,
30/06/2022 07:00,0,0,6,9,0,0,1,0,0,0,2,0,40.7,43.4,,
30/06/2022 07:05,0,0,12,15,0,0,2,0,0,0,3,0,46.6,42.1,,
30/06/2022 07:10,0,0,10,19,0,0,1,0,0,0,2,0,40.5,41.3,,
30/06/2022 07:15,0,0,15,11,0,0,0,2,0,0,2,0,41.9,39.3,,
30/06/2022 07:20,0,0,8,15,0,0,1,1,0,0,2,0,41.8,43.3,,
30/06/2022 07:25,0,0,21,18,0,0,3,0,0,0,2,0,43.3,39.8,,
30/06/2022 07:30,0,0,20,31,1,0,0,0,0,0,2,0,43.2,41.4,,
30/06/2022 07:35,0,0,14,30,0,0,3,0,0,0,4,0,38.9,41.3,,
30/06/2022 07:40,0,0,23,31,0,1,0,1,0,0,2,0,42.3,39.4,,
30/06/2022 07:45,0,1,19,31,0,0,2,0,0,0,2,0,39.4,39.2,,
30/06/2022 07:50,0,0,23,43,0,0,0,2,1,0,0,0,37.2,41.4,,
30/06/2022 07:55,1,0,24,40,0,0,0,1,0,0,3,1,38.8,38.7,,
30/06/2022 08:00,1,0,27,45,0,0,0,1,0,0,1,0,36.5,40.8,,
30/06/2022 08:05,0,0,37,48,0,0,0,0,0,0,0,2,39.7,38.6,,
30/06/2022 08:10,0,0,21,53,0,0,2,3,1,0,5,0,34.5,34.8,,
30/06/2022 08:15,0,0,33,55,0,0,0,2,0,0,2,0,36.9,32.1,,
30/06/2022 08:20,1,0,33,37,0,0,0,4,1,0,4,1,38.1,35.8,,
30/06/2022 08:25,0,0,31,42,0,1,1,0,0,0,3,0,36.7,34.7,,
30/06/2022 08:30,0,0,27,54,0,0,3,2,1,0,2,2,38.2,33.6,,
30/06/2022 08:35,1,1,29,40,0,0,3,3,0,0,5,0,34.1,30,,
30/06/2022 08:40,1,0,41,43,0,0,3,1,0,0,1,0,38.1,33.8,,
30/06/2022 08:45,0,0,47,46,1,1,0,2,1,0,2,0,36.5,29.3,,
30/06/2022 08:50,1,0,30,42,0,0,0,0,0,0,5,0,37.8,38.5,,
30/06/2022 08:55,0,0,39,36,0,0,2,1,0,0,2,0,37.1,39,,
30/06/2022 09:00,0,0,25,33,0,0,1,0,0,0,2,0,36.8,38.2,,
30/06/2022 09:05,0,0,26,38,1,0,1,1,0,0,0,0,41.1,38.9,,
30/06/2022 09:10,1,1,25,37,0,0,5,0,0,0,2,3,39.4,37,,
30/06/2022 09:15,1,0,14,40,0,0,0,1,0,0,4,1,37.5,39.3,,
30/06/2022 09:20,0,0,24,38,0,0,1,1,0,0,2,1,42.8,35.8,,
30/06/2022 09:25,0,0,19,30,0,1,2,1,0,0,1,0,36.2,41.2,,
30/06/2022 09:30,0,0,18,35,0,0,2,1,0,0,1,0,42,40.7,,
30/06/2022 09:35,0,0,16,35,0,0,0,2,0,0,1,0,43.8,40.3,,
30/06/2022 09:40,1,1,24,24,1,0,4,2,1,0,1,2,40.7,41.2,,
30/06/2022 09:45,0,0,18,22,0,0,1,1,0,0,3,0,41.3,39,,
30/06/2022 09:50,1,0,25,22,1,0,0,1,0,1,1,0,41.1,41.9,,
30/06/2022 09:55,0,1,27,21,0,0,3,0,0,0,5,0,38,41,,
30/06/2022 10:00,0,1,18,32,0,0,2,2,0,0,5,0,39.1,40.3,,
30/06/2022 10:05,0,0,23,30,1,0,1,1,0,0,2,0,44.3,39.8,,
30/06/2022 10:10,1,0,22,22,0,0,2,2,0,0,1,0,39.6,40.2,,
30/06/2022 10:15,0,0,15,27,0,0,2,2,0,0,4,0,44.6,41.5,,
30/06/2022 10:20,0,0,13,19,1,0,0,1,0,0,2,0,41.7,41,,
30/06/2022 10:25,1,0,22,24,0,0,2,1,1,1,2,0,41.1,41.2,,
30/06/2022 10:30,0,0,17,31,1,0,2,2,0,0,2,0,38.8,42.5,,
30/06/2022 10:35,0,0,26,30,0,0,2,0,0,0,3,0,39.1,37,,
30/06/2022 10:40,0,0,28,24,0,1,4,2,0,0,3,1,42.2,38.8,,
30/06/2022 10:45,3,0,27,28,0,0,3,2,0,0,1,0,39.3,41,,
30/06/2022 10:50,0,0,34,26,0,0,1,0,0,0,2,0,37.3,40.9,,
30/06/2022 10:55,2,0,23,36,0,1,2,1,0,0,5,0,35.5,38.8,,
30/06/2022 11:00,0,0,24,19,0,0,1,0,0,0,3,0,38.2,40,,
30/06/2022 11:05,0,0,28,29,0,0,1,1,0,0,3,0,41,37.8,,
30/06/2022 11:10,1,1,23,32,0,0,1,2,0,0,3,0,36.8,39.2,,
30/06/2022 11:15,0,0,22,25,0,0,2,0,0,0,3,0,39.2,41.4,,
30/06/2022 11:20,2,0,10,36,0,0,3,0,0,0,1,1,42.7,39.7,,
30/06/2022 11:25,3,0,23,26,0,0,2,1,0,0,4,0,36.5,39.8,,
30/06/2022 11:30,1,0,27,22,0,0,0,1,0,0,2,0,42.9,43.9,,
