Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,
Platform: Drakewell  1421 (Automatic Traffic Counter) ,,,,,,,,
,,,,,,,,
timestamp,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed northbound (km/h)
27/04/2022 01:00,0,0,0,0,0,0,0,
27/04/2022 01:30,0,0,0,0,0,0,0,
27/04/2022 02:00,0,0,0,0,0,0,0,
27/04/2022 02:30,0,0,0,0,0,0,0,
27/04/2022 03:00,0,0,0,0,0,0,0,
27/04/2022 03:30,0,0,0,0,0,0,0,
27/04/2022 04:00,0,0,0,0,0,0,0,
27/04/2022 04:30,0,0,0,0,0,0,0,
27/04/2022 05:00,0,0,0,0,0,0,0,
27/04/2022 05:30,0,0,0,0,0,0,0,
27/04/2022 06:00,0,0,0,0,0,0,0,
27/04/2022 06:30,0,0,0,0,0,0,0,
27/04/2022 07:00,0,0,0,0,0,0,0,
27/04/2022 07:30,1,5,0,0,0,0,2.67,
27/04/2022 08:00,0,0,0,0,0,0,0,
27/04/2022 08:30,0,1,0,0,0,0,0.67,
27/04/2022 09:00,0,0,0,0,0,0,0,
27/04/2022 09:30,2,3,0,1,0,0,3.33,
27/04/2022 10:00,0,0,0,0,0,0,0,
27/04/2022 10:30,0,1,0,0,0,0,0.67,
27/04/2022 11:00,5,6,0,2,0,0,4.33,
27/04/2022 11:30,0,0,0,0,0,0,0,
27/04/2022 12:00,0,0,0,0,0,0,0,
27/04/2022 12:30,0,0,0,0,0,0,0,
27/04/2022 13:00,0,0,0,0,0,0,0,
27/04/2022 13:30,0,0,0,0,0,0,0,
27/04/2022 14:00,2,4,0,0,0,0,3.12,
27/04/2022 14:30,0,0,0,1,0,0,0.67,
27/04/2022 15:00,0,3,0,1,0,0,2.67,
27/04/2022 15:30,1,1,0,0,0,0,1.33,
27/04/2022 16:00,0,1,0,0,0,0,2.02,
27/04/2022 16:30,1,2,0,0,0,0,1.12,
27/04/2022 17:00,0,0,0,0,0,0,0,
27/04/2022 17:30,0,0,0,0,0,0,0,
27/04/2022 18:00,0,0,0,0,0,0,0,
27/04/2022 18:30,0,0,0,0,0,0,0,
27/04/2022 19:00,0,0,0,0,0,0,0,
27/04/2022 19:30,0,0,0,0,0,0,0,
27/04/2022 20:00,0,0,0,0,0,0,0,
27/04/2022 20:30,0,0,0,0,0,0,0,
27/04/2022 21:00,0,0,0,0,0,0,0,
