Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,
Platform: Drakewell  1421 (Automatic Traffic Counter) ,,,,,,,,
,,,,,,,,
timestamp,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed northbound (km/h)
01/05/2022 15:00,0,0,0,0,0,0,0,
01/05/2022 16:00,0,0,0,0,0,0,0,
01/05/2022 17:00,0,0,0,0,0,0,0,
01/05/2022 18:00,0,0,0,0,0,0,0,
01/05/2022 19:00,0,0,0,0,0,0,0,
01/05/2022 20:00,0,0,0,0,0,0,0,
01/05/2022 21:00,0,0,0,0,0,0,0,
01/05/2022 22:00,0,0,0,0,0,0,0,
01/05/2022 23:00,0,0,0,0,0,0,0,
02/05/2022 00:00,0,0,0,0,0,0,0,
02/05/2022 01:00,0,0,0,0,0,0,0,
02/05/2022 02:00,0,0,0,0,0,0,0,
02/05/2022 03:00,0,0,0,0,0,0,0,
02/05/2022 04:00,0,0,0,0,0,0,0,
02/05/2022 05:00,0,0,0,0,0,0,0,
02/05/2022 06:00,0,0,0,0,0,0,0,
02/05/2022 07:00,0,0,0,0,0,0,0,
02/05/2022 08:00,0,0,0,0,0,0,0,
02/05/2022 09:00,0,0,0,0,0,0,0,
02/05/2022 10:00,0,0,0,0,0,0,0,
02/05/2022 11:00,0,0,0,0,0,0,0,
02/05/2022 12:00,0,0,0,0,0,0,0,
02/05/2022 13:00,0,0,0,0,0,0,0,
02/05/2022 14:00,0,0,0,0,0,0,0,
02/05/2022 15:00,0,0,0,0,0,0,0,
02/05/2022 16:00,0,0,0,0,0,0,0,
02/05/2022 17:00,0,0,0,0,0,0,0,
02/05/2022 18:00,0,0,0,0,0,0,0,
02/05/2022 19:00,0,0,0,0,0,0,0,
02/05/2022 20:00,0,0,0,0,0,0,0,
02/05/2022 21:00,0,0,0,0,0,0,0,
02/05/2022 22:00,0,0,0,0,0,0,0,
02/05/2022 23:00,0,0,0,0,0,0,0,
03/05/2022 00:00,0,0,0,0,0,0,0,
03/05/2022 01:00,0,0,0,0,0,0,0,
03/05/2022 02:00,0,0,0,0,0,0,0,
03/05/2022 03:00,0,0,0,0,0,0,0,
03/05/2022 04:00,0,0,0,0,0,0,0,
03/05/2022 05:00,0,0,0,0,0,0,0,
03/05/2022 06:00,0,0,0,0,0,0,0,
03/05/2022 07:00,0,0,0,0,0,0,0,
03/05/2022 08:00,0,0,0,0,0,0,0,
03/05/2022 09:00,0,2,0,0,0,0,1.34,
03/05/2022 10:00,0,7,0,2,0,0,1.5,
03/05/2022 11:00,0,0,0,0,1,0,1.01,
03/05/2022 12:00,1,1,0,0,1,0,3.35,
03/05/2022 13:00,0,0,0,0,0,0,0,
03/05/2022 14:00,3,1,0,2,0,0,1.33,
03/05/2022 15:00,3,5,0,1,0,0,4.36,
03/05/2022 16:00,0,0,0,0,0,0,0,
03/05/2022 17:00,0,0,0,0,0,0,0,
03/05/2022 18:00,0,0,0,0,0,0,0,
03/05/2022 19:00,0,0,0,0,0,0,0,
03/05/2022 20:00,0,0,0,0,0,0,0,
03/05/2022 21:00,0,0,0,0,0,0,0,
03/05/2022 22:00,0,0,0,0,0,0,0,
03/05/2022 23:00,0,0,0,0,0,0,0,
04/05/2022 00:00,0,0,0,0,0,0,0,
04/05/2022 01:00,0,0,0,0,0,0,0,
04/05/2022 02:00,0,0,0,0,0,0,0,
04/05/2022 03:00,0,0,0,0,0,0,0,
04/05/2022 04:00,0,0,0,0,0,0,0,
04/05/2022 05:00,0,0,0,0,0,0,0,
04/05/2022 06:00,0,0,0,0,0,0,0,
04/05/2022 07:00,2,0,0,0,0,0,0.67,
04/05/2022 08:00,4,4,0,0,0,0,1.13,
04/05/2022 09:00,0,1,0,2,0,0,1.68,
04/05/2022 10:00,0,0,0,1,0,0,0.33,
04/05/2022 11:00,0,3,0,1,1,0,2.01,
04/05/2022 12:00,2,0,0,1,0,0,1,
04/05/2022 13:00,0,0,0,0,0,0,0,
04/05/2022 14:00,0,4,0,0,1,0,2.01,
04/05/2022 15:00,0,1,0,0,0,0,0.33,
04/05/2022 16:00,1,0,0,0,1,0,0.67,
04/05/2022 17:00,0,0,0,0,0,0,0,
04/05/2022 18:00,0,0,0,0,0,0,0,
04/05/2022 19:00,0,0,0,0,0,0,0,
04/05/2022 20:00,0,0,0,0,0,0,0,
04/05/2022 21:00,0,0,0,0,0,0,0,
04/05/2022 22:00,0,0,0,0,0,0,0,
04/05/2022 23:00,0,0,0,0,0,0,0,
05/05/2022 00:00,0,0,0,0,0,0,0,
05/05/2022 01:00,0,0,0,0,0,0,0,
05/05/2022 02:00,0,0,0,0,0,0,0,
05/05/2022 03:00,0,0,0,0,0,0,0,
05/05/2022 04:00,0,0,0,0,0,0,0,
05/05/2022 05:00,0,0,0,0,0,0,0,
05/05/2022 06:00,0,0,0,0,0,0,0,
05/05/2022 07:00,1,2,0,0,0,0,1,
05/05/2022 08:00,1,1,0,2,0,0,1.33,
05/05/2022 09:00,0,0,0,0,1,0,1.01,
05/05/2022 10:00,3,0,0,0,1,0,2.01,
05/05/2022 11:00,0,2,0,0,2,0,1.68,
05/05/2022 12:00,5,15,0,0,0,0,3.23,
05/05/2022 13:00,2,1,0,1,1,0,1,
05/05/2022 14:00,1,7,0,1,0,0,2.34,
05/05/2022 15:00,1,3,0,0,0,0,1,
05/05/2022 16:00,1,0,0,0,2,0,1.34,
05/05/2022 17:00,0,0,0,0,0,0,0,
05/05/2022 18:00,0,0,0,0,0,0,0,
05/05/2022 19:00,0,0,0,0,0,0,0,
05/05/2022 20:00,0,0,0,0,0,0,0,
05/05/2022 21:00,0,0,0,0,0,0,0,
05/05/2022 22:00,0,0,0,0,0,0,0,
05/05/2022 23:00,0,0,0,0,0,0,0,
06/05/2022 00:00,0,0,0,0,0,0,0,
06/05/2022 01:00,0,0,0,0,0,0,0,
06/05/2022 02:00,0,0,0,0,0,0,0,
06/05/2022 03:00,0,0,0,0,0,0,0,
06/05/2022 04:00,0,0,0,0,0,0,0,
06/05/2022 05:00,0,0,0,0,0,0,0,
06/05/2022 06:00,0,0,0,0,0,0,0,
06/05/2022 07:00,0,4,0,0,0,0,1,
06/05/2022 08:00,1,7,0,1,1,0,3.13,
06/05/2022 09:00,1,4,0,0,1,0,1.67,
