Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1426 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Motorcycles westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle speed  - Vehicles Speed eastbound (km/h),Vehicle speed  - Vehicles Speed westbound (km/h)
23/04/2022 00:00,0,0,132,124,1,0,4,2,7,5,0,0,85.57,85.2,,
23/04/2022 01:00,1,3,72,100,0,0,1,2,7,5,0,0,86.74,70.68,,
23/04/2022 02:00,0,5,83,84,0,0,3,5,3,10,0,0,85.88,75.23,,
23/04/2022 03:00,0,3,66,107,0,0,3,3,4,3,0,0,87.35,73.14,,
23/04/2022 04:00,0,6,67,102,0,0,3,7,6,5,0,1,86.56,74.72,,
23/04/2022 05:00,0,8,86,105,0,0,2,7,10,18,1,0,88.06,81.5,,
23/04/2022 06:00,2,3,179,190,1,0,4,10,11,15,2,2,89.02,87.87,,
23/04/2022 07:00,3,9,342,257,2,1,14,11,10,25,2,1,89.64,89.43,,
23/04/2022 08:00,8,21,525,430,2,1,28,24,8,31,2,0,88.33,86.77,,
23/04/2022 09:00,3,22,756,517,3,6,26,30,6,26,3,0,87.63,84.79,,
23/04/2022 10:00,3,29,925,677,7,5,19,26,13,43,4,2,86.73,81.35,,
23/04/2022 11:00,5,25,1075,773,6,6,20,33,4,47,4,2,86.98,83.15,,
23/04/2022 12:00,8,24,1146,778,3,9,23,30,6,54,5,2,87.43,85.23,,
23/04/2022 13:00,6,35,1072,755,8,7,22,29,12,46,3,2,87.5,84,,
23/04/2022 14:00,4,34,1039,710,5,0,17,28,7,33,2,0,87.06,84.57,,
23/04/2022 15:00,5,27,969,697,7,5,16,31,2,41,1,1,86.73,83.32,,
23/04/2022 16:00,2,26,936,708,6,4,10,23,3,35,2,2,85.86,84.46,,
23/04/2022 17:00,4,35,836,664,4,1,14,25,1,40,2,0,88.58,83.73,,
23/04/2022 18:00,2,21,750,561,2,2,14,24,0,33,3,1,89.63,85.89,,
23/04/2022 19:00,1,21,540,445,3,1,5,14,4,21,3,1,90.42,86.55,,
23/04/2022 20:00,1,11,399,300,0,0,4,5,1,16,1,2,89.89,83.18,,
23/04/2022 21:00,0,7,248,257,0,1,4,1,2,16,1,1,89.46,81.51,,
23/04/2022 22:00,1,2,223,221,0,0,4,5,2,6,1,1,87.47,78.85,,
23/04/2022 23:00,1,7,228,199,0,0,0,1,1,6,2,0,89.61,81.43,,
24/04/2022 00:00,0,2,134,136,0,0,2,4,0,4,0,0,91.47,77.18,,
24/04/2022 01:00,0,1,79,87,0,0,1,3,1,1,0,0,88.93,66.86,,
24/04/2022 02:00,0,2,48,95,0,0,0,3,0,2,0,0,80.68,71.86,,
24/04/2022 03:00,0,3,82,129,1,0,0,0,1,3,0,0,88.63,73.87,,
24/04/2022 04:00,0,4,60,117,0,0,0,2,0,6,0,0,84.87,71.03,,
24/04/2022 05:00,0,2,77,120,0,0,1,7,3,12,0,0,87.62,82.72,,
24/04/2022 06:00,0,4,145,178,0,1,3,4,4,6,0,0,92.55,87.47,,
24/04/2022 07:00,0,8,205,184,0,0,8,7,4,11,0,0,88.28,87.13,,
24/04/2022 08:00,2,4,371,290,0,4,10,13,4,17,1,0,88.64,80.64,,
24/04/2022 09:00,4,12,626,482,0,0,14,19,5,20,2,0,87.84,85.87,,
24/04/2022 10:00,6,32,726,559,4,6,10,17,7,32,2,0,86.81,83.53,,
24/04/2022 11:00,8,25,964,655,3,7,11,29,3,49,1,1,84.03,80.43,,
24/04/2022 12:00,9,21,1015,722,10,5,10,19,8,51,2,2,85.91,83.12,,
24/04/2022 13:00,5,35,1052,749,2,13,8,27,0,49,2,3,86.95,83.94,,
24/04/2022 14:00,7,42,923,645,5,5,7,22,9,36,2,2,85.89,83.21,,
24/04/2022 15:00,5,32,945,730,8,2,12,26,4,52,2,1,85.72,82.36,,
24/04/2022 16:00,6,25,845,655,6,4,12,17,1,49,2,1,88.29,84.87,,
24/04/2022 17:00,2,26,752,555,4,4,14,12,4,32,2,1,87.71,87.76,,
24/04/2022 18:00,4,28,591,486,3,3,9,13,5,30,1,0,91.61,87.75,,
24/04/2022 19:00,0,21,536,418,3,0,9,10,2,24,2,1,90.43,86.28,,
24/04/2022 20:00,2,8,399,306,2,2,5,6,2,19,2,0,91.01,86.42,,
24/04/2022 21:00,1,23,276,263,0,1,3,6,3,8,1,0,89.93,81.64,,
24/04/2022 22:00,1,6,217,181,0,1,1,8,5,12,1,0,86.94,78.52,,
24/04/2022 23:00,0,5,172,120,1,0,1,2,4,7,1,0,87.59,78.37,,
25/04/2022 00:00,0,4,89,77,0,1,0,6,4,2,0,0,89.45,61,,
25/04/2022 01:00,1,2,40,49,0,0,2,4,2,4,0,0,89.87,67.28,,
25/04/2022 02:00,0,2,65,87,0,0,3,6,4,10,0,0,90.14,67.66,,
25/04/2022 03:00,0,3,66,89,0,0,1,5,6,4,0,0,88.3,73.84,,
25/04/2022 04:00,0,2,74,146,0,0,2,9,10,14,0,0,88.28,80.2,,
25/04/2022 05:00,0,3,129,160,1,1,20,9,17,27,1,0,90.98,85,,
25/04/2022 06:00,2,13,370,387,1,2,30,28,31,41,4,1,90.59,87.69,,
25/04/2022 07:00,5,24,993,790,6,3,57,45,40,70,3,2,89.92,86.88,,
25/04/2022 08:00,8,22,1294,910,13,4,71,58,32,75,5,4,86.57,84.49,,
25/04/2022 09:00,5,29,978,705,10,6,81,49,41,60,2,2,85.29,80.96,,
25/04/2022 10:00,3,23,791,571,10,8,67,63,41,53,3,1,84.99,82.12,,
25/04/2022 11:00,8,29,694,524,8,9,77,43,31,68,4,0,85.78,81.44,,
25/04/2022 12:00,1,23,799,550,15,4,62,51,36,75,3,0,84.57,79.48,,
25/04/2022 13:00,3,21,847,647,10,6,70,46,36,72,2,2,84.78,82.15,,
25/04/2022 14:00,5,19,919,615,6,5,56,64,36,60,5,1,85.92,82.33,,
25/04/2022 15:00,3,28,1044,739,6,7,46,45,21,59,4,2,86.22,83.93,,
25/04/2022 16:00,5,39,1325,1008,7,9,48,56,24,48,8,2,86.68,88.5,,
25/04/2022 17:00,7,24,1472,1031,1,1,22,45,27,43,4,0,87.26,91.37,,
25/04/2022 18:00,5,28,1168,844,0,8,15,32,15,42,4,1,87.28,89.89,,
25/04/2022 19:00,1,14,651,452,2,2,5,13,9,25,2,0,90.13,84.91,,
25/04/2022 20:00,4,9,437,346,1,1,2,14,11,16,1,0,90.32,84.78,,
25/04/2022 21:00,0,10,281,297,0,0,6,3,8,16,1,0,90.34,83.83,,
25/04/2022 22:00,1,7,222,208,1,0,2,3,1,16,1,1,86.94,80.37,,
25/04/2022 23:00,0,5,165,134,0,1,1,6,5,10,1,0,89.29,79.42,,
26/04/2022 00:00,0,1,87,91,0,0,4,4,12,5,0,0,86.88,70.06,,
26/04/2022 01:00,0,0,46,51,0,0,2,5,3,7,0,0,84.67,55.47,,
26/04/2022 02:00,0,1,43,65,0,0,3,6,5,11,0,0,88.03,65.87,,
26/04/2022 03:00,0,2,53,116,0,0,3,5,12,5,0,0,85.42,75.93,,
26/04/2022 04:00,0,1,73,132,0,1,3,4,16,12,0,0,91.13,78.65,,
26/04/2022 05:00,1,5,141,152,2,1,9,13,23,28,1,0,88.68,86.43,,
26/04/2022 06:00,3,11,414,365,1,7,26,22,24,51,4,0,91.13,87.52,,
26/04/2022 07:00,8,37,1078,767,6,9,58,48,39,77,3,1,90.77,85.2,,
26/04/2022 08:00,8,40,1541,1014,13,6,81,68,24,84,1,0,86.09,84.82,,
26/04/2022 09:00,3,29,995,721,11,4,83,51,37,72,3,2,85.55,82.66,,
26/04/2022 10:00,4,28,727,593,3,3,73,45,32,67,3,1,83.88,79.94,,
26/04/2022 11:00,1,33,747,537,6,5,64,73,34,73,3,0,84.25,81.98,,
26/04/2022 12:00,4,33,841,573,5,6,48,76,48,54,4,2,85.59,82.29,,
26/04/2022 13:00,7,32,801,593,5,6,48,40,36,51,2,2,84.96,79.76,,
26/04/2022 14:00,5,33,924,617,8,7,56,55,33,70,3,2,85.58,82.39,,
26/04/2022 15:00,10,40,1084,864,6,6,56,55,39,51,5,0,87.43,83.08,,
26/04/2022 16:00,8,44,1469,1094,2,7,55,58,22,80,4,1,87.82,85.96,,
26/04/2022 17:00,8,46,1661,1148,2,12,18,41,20,53,8,2,88.28,87.38,,
26/04/2022 18:00,5,27,1189,841,3,5,20,25,12,41,4,1,88.39,88.36,,
26/04/2022 19:00,3,15,656,479,3,3,10,11,5,26,2,2,90.99,84.05,,
26/04/2022 20:00,3,13,401,352,1,0,7,8,11,13,1,0,92.52,87.19,,
26/04/2022 21:00,1,8,327,251,1,0,3,5,7,16,1,1,90.9,78.17,,
26/04/2022 22:00,0,8,270,230,1,0,2,4,3,9,2,1,89.02,84.56,,
26/04/2022 23:00,1,3,252,211,0,0,0,9,8,7,1,1,89.03,81.38,,
27/04/2022 00:00,0,2,112,88,1,0,1,7,8,6,0,0,89.57,71.17,,
27/04/2022 01:00,0,3,55,55,0,0,4,3,4,6,0,0,86.74,59.98,,
27/04/2022 02:00,0,3,43,65,0,0,4,4,6,5,0,0,93.45,60.94,,
27/04/2022 03:00,0,6,47,79,0,0,2,4,9,7,0,0,91.13,73.41,,
27/04/2022 04:00,0,5,68,139,1,0,3,6,13,14,0,0,84.41,84.03,,
27/04/2022 05:00,1,9,126,170,1,3,11,14,25,38,1,1,87.99,81.72,,
27/04/2022 06:00,3,9,370,389,1,5,26,22,20,43,3,3,90.93,86.91,,
27/04/2022 07:00,6,27,1074,820,8,15,53,49,32,71,1,1,90.9,87.54,,
27/04/2022 08:00,6,34,1441,1018,12,7,99,61,36,77,5,0,86.19,84.28,,
27/04/2022 09:00,4,27,1037,722,6,7,94,68,33,71,3,3,85.04,82.32,,
27/04/2022 10:00,2,34,776,568,5,6,64,69,28,62,4,1,85.1,81.03,,
27/04/2022 11:00,3,32,791,545,7,7,62,60,31,72,3,1,85.72,78.7,,
27/04/2022 12:00,1,31,892,580,1,6,70,56,29,56,3,0,85.08,80.14,,
27/04/2022 13:00,7,32,819,599,7,6,59,71,37,58,2,1,84.66,82.08,,
27/04/2022 14:00,7,32,925,701,3,2,74,66,33,60,4,1,84.28,83.23,,
27/04/2022 15:00,2,38,1187,828,10,5,57,50,33,78,3,0,85.87,84.09,,
27/04/2022 16:00,9,42,1464,1079,4,12,39,59,20,59,7,3,85.75,86.05,,
27/04/2022 17:00,7,45,1590,1159,2,3,33,56,21,60,7,2,86.27,87.94,,
27/04/2022 18:00,9,37,1213,896,3,5,22,25,10,41,3,1,87.66,86.14,,
27/04/2022 19:00,5,28,675,498,2,7,12,27,6,38,2,0,89.98,85.33,,
27/04/2022 20:00,3,23,472,423,1,1,6,10,11,15,1,0,90.1,84.38,,
27/04/2022 21:00,1,17,389,295,0,0,0,5,6,16,1,1,87.37,84.59,,
27/04/2022 22:00,1,13,284,254,1,1,3,11,6,16,1,0,91.78,81.86,,
27/04/2022 23:00,0,2,273,161,0,0,10,3,9,13,1,0,89.42,83.87,,
28/04/2022 00:00,0,2,142,80,0,0,4,7,8,11,1,0,86.33,68.83,,
28/04/2022 01:00,0,1,59,60,0,0,1,2,5,8,0,0,88.15,61.97,,
28/04/2022 02:00,0,0,44,75,0,0,6,3,9,8,0,0,91.81,68.57,,
28/04/2022 03:00,0,3,68,111,0,0,5,6,14,6,0,0,89.65,78.32,,
28/04/2022 04:00,0,7,104,127,0,0,2,4,17,17,0,0,88.96,77.62,,
28/04/2022 05:00,0,3,148,181,0,0,19,8,26,23,1,0,89.03,84.09,,
